epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,35.6991,1.03634,0.59307,0.92057,0.98596,1,0.995,0.6965,1.34379,0.75798,1.2931,0.00136964,0.00136964,0.00136964
45,36.5226,0.99865,0.63722,0.93746,0.98596,1,0.995,0.6965,1.34379,0.75798,1.2931,0.00139232,0.00139232,0.00139232
46,37.3772,1.14415,0.69734,0.90437,0.98218,1,0.995,0.54052,1.67546,0.70714,1.26532,0.0014146,0.0014146,0.0014146
47,38.2053,1.06106,0.64248,0.94661,0.98218,1,0.995,0.54052,1.67546,0.70714,1.26532,0.00143648,0.00143648,0.00143648
48,39.0721,1.04168,0.61425,0.91576,0.98299,1,0.995,0.47782,2.06424,0.73207,1.38411,0.00145797,0.00145797,0.00145797
49,39.9029,1.06824,0.59369,0.94264,0.98299,1,0.995,0.47782,2.06424,0.73207,1.38411,0.00147906,0.00147906,0.00147906
50,40.7508,0.98569,0.63657,0.89544,0.98465,1,0.995,0.51012,1.93515,0.74951,1.29993,0.00149975,0.00149975,0.00149975
51,41.5827,1.04871,0.57475,0.91625,0.98465,1,0.995,0.51012,1.93515,0.74951,1.29993,0.001505,0.001505,0.001505
52,42.436,1.09011,0.6135,0.90579,0.99668,1,0.995,0.48815,1.81095,0.76343,1.28984,0.0014951,0.0014951,0.0014951
53,43.2424,0.98076,0.6103,0.91801,0.99668,1,0.995,0.48815,1.81095,0.76343,1.28984,0.0014852,0.0014852,0.0014852
54,44.0999,1.05819,0.61272,0.9271,1,0.99052,0.995,0.58784,1.71726,0.90149,1.16651,0.0014753,0.0014753,0.0014753
55,44.9287,0.99044,0.62196,0.92485,1,0.99052,0.995,0.58784,1.71726,0.90149,1.16651,0.0014654,0.0014654,0.0014654
56,45.7745,1.06305,0.61286,0.8701,0.98208,1,0.995,0.60876,1.62879,0.7002,1.19513,0.0014555,0.0014555,0.0014555
57,46.5918,1.04738,0.61395,0.85581,0.98208,1,0.995,0.60876,1.62879,0.7002,1.19513,0.0014456,0.0014456,0.0014456
58,47.445,0.97368,0.60391,0.92033,0.97958,1,0.995,0.46593,1.62512,0.75678,1.32939,0.0014357,0.0014357,0.0014357
59,48.2666,0.97614,0.58589,0.93231,0.97958,1,0.995,0.46593,1.62512,0.75678,1.32939,0.0014258,0.0014258,0.0014258
